time,P,G(i),H_sun,T2m,WS10m,Int
20150118:1702,2480.04,443.02,10.12,19.7,7.72,0
20150118:1802,0,0,0,18.77,7.38,0
20150118:1902,0,0,0,18.23,7.31,0
20150118:2002,0,0,0,17.92,7.17,0
20150118:2102,0,0,0,17.65,7.38,0
20150118:2202,0,0,0,17.5,7.72,0
20150118:2302,0,0,0,17.31,7.93,0
20150119:0002,0,0,0,17.21,7.93,0
20150119:0102,0,0,0,17.05,7.72,0
20150119:0202,0,0,0,16.85,7.59,0
20150119:0302,0,0,0,16.7,7.59,0
20150119:0402,0,0,0,16.58,7.52,0
20150119:0502,230.7,56.11,12.34,17.07,7.1,0
20150119:0602,434.34,130.54,24.47,18.21,7.79,0
20150119:0702,1350.72,290.4,36.86,20.08,7.52,0
20150119:0802,2437.98,463.01,49.26,21.82,7.1,0
20150119:0902,3411.3,628.78,61.3,23.42,6.9,0
20150119:1002,4207.38,775.58,71.83,24.75,6.97,0
20150119:1102,4762.32,881.97,76.31,25.7,7.59,0
20150119:1202,5125.38,950.75,70.06,26.23,8.41,0
20150119:1302,5180.16,958.26,59.06,26.2,9.03,0
20150119:1402,4995.36,918.84,46.9,25.82,9.17,0
20150119:1502,4442.58,809.38,34.48,25.23,9.31,0
20150119:1602,3597.42,648.97,22.13,24.26,9.38,0
20150119:1702,2236.26,405.98,10.07,22.88,8.76,0
20150119:1802,0,0,0,21.43,8.9,0
20150119:1902,0,0,0,20.2,8.9,0
20150119:2002,0,0,0,19.33,8.28,0
20150119:2102,0,0,0,18.55,7.79,0
20150119:2202,0,0,0,18.03,7.1,0
20150119:2302,0,0,0,17.66,6.55,0
20150120:0002,0,0,0,17.3,6,0
20150120:0102,0,0,0,16.92,5.45,0
20150120:0202,0,0,0,16.57,4.97,0
20150120:0302,0,0,0,16.19,4.55,0
20150120:0402,0,0,0,15.78,4.21,0
20150120:0502,202.32,50.68,12.17,16.3,4.07,0
20150120:0602,404.16,125.46,24.31,18.53,4.41,0
20150120:0702,1307.04,286.09,36.69,21.19,5.24,0
20150120:0802,2374.98,459.34,49.09,23.76,5.03,0
20150120:0902,3307.5,625.32,61.12,26.22,4.55,0
20150120:1002,4042.98,771.94,71.62,28.27,4.14,0
20150120:1102,4541.88,882.68,76.1,29.78,3.72,0
20150120:1202,4831.5,948.11,69.96,30.72,3.79,0
20150120:1302,4914.72,960.63,59.01,31.06,4.41,0
20150120:1402,4768.08,916.47,46.86,30.63,5.59,0
20150120:1502,4292.1,807.09,34.44,29.22,6.62,0
20150120:1602,3503.04,646.76,22.09,27.24,6.9,0
20150120:1702,2132.22,393.46,10.01,25.16,6.97,0
20150120:1802,0,0,0,23.16,7.03,0
20150120:1902,0,0,0,21.38,7.59,0
20150120:2002,0,0,0,20.7,7.66,0
20150120:2102,0,0,0,20.14,7.31,0
20150120:2202,0,0,0,19.63,6.9,0
20150120:2302,0,0,0,19.12,6.83,0
20150121:0002,0,0,0,18.69,6.76,0
20150121:0102,0,0,0,18.39,6.34,0
20150121:0202,0,0,0,18.21,5.66,0
20150121:0302,0,0,0,18,5.03,0
20150121:0402,0,0,0,17.83,5.24,0
20150121:0502,224.04,55.21,11.99,18.49,5.59,0
20150121:0602,408.3,124.59,24.14,20.07,6.41,0
20150121:0702,1289.88,282.94,36.53,22.07,7.31,0
20150121:0802,2354.52,455.65,48.93,24.44,6.55,0
20150121:0902,3299.7,622.71,60.94,26.93,5.59,0
20150121:1002,4047.9,766.7,71.4,28.71,5.59,0
20150121:1102,4637.88,883.37,75.89,29.86,6.21,0
20150121:1202,4980.48,949.97,69.84,30.4,7.03,0
20150121:1302,5077.26,962.97,58.94,30.28,8,0
20150121:1402,4905.9,919.32,46.82,29.48,8.97,0
20150121:1502,4416.48,817.42,34.4,28.39,9.24,0
20150121:1602,3542.04,650.4,22.04,27.59,8.9,0
20150121:1702,2219.34,410.71,9.95,26.57,8.07,0
20150121:1802,0,0,0,25.27,7.66,0
20150121:1902,0,0,0,24.04,6.07,0
20150121:2002,0,0,0,22.96,5.31,0
20150121:2102,0,0,0,21.98,4.69,0
20150121:2202,0,0,0,21.06,4.21,0
20150121:2302,0,0,0,20.26,4.14,0
